FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
Macmillan Cancer Support,8.0,Materialities of Care symposium,4.0,William F. Milton Fund of Harvard Medical School,5.0,,,Haroon Mumtaz,6
Dutch Organization for Scientific Research (NWO),8.0,INFRAIA-1-2014-2015: Research Infrastructures,4.0,University of Perugia,5.0,,,Cameron Willis,6
Ministerio Economia y Competitividad (Spain),8.0,Challenge Investment award,4.0,Deakin University Postgraduate Research Scholarship,5.0,,,Megan Meyer,6
Ministerio de Ciencia y Tecnologia,8.0,Prediction in epidemiology and healthcare,4.0,University of Trier,5.0,,,Frank Vandenbroucke,6
Guggenheim Fellowship,8.0,"Operational Program ""Education and Lifelong Learning",4.0,"State of Lower Saxony, Hannover, Germany",5.0,,,Christian Gourieroux,6
Bronx WIHS,8.0,Evaluation of Intervention for Siblings in Foster Care,4.0,Office of Faculty Development,5.0,,,Tim Armstrong,6
FCT (Fundacao para a Ciencia e a Tecnologia),8.0,FSNSP,4.0,Southampton University,5.0,,,Ren,6
"Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.",8.0,FFIT,4.0,Paris Lodron University of Salzburg,5.0,,,Matteo Bonotti,6
National Bureau of Economic Research,8.0,Latin American Regionalism: Historical Processes and New Theoretical Developments,4.0,Henry Crown Institute of Business Research in Israel,5.0,,,Mario V. Wuthrich,6
National Institute on Deafness and other Communication Disorders (NIDCD),8.0,Advanced Topics In Multivariate Risk Management In Finance And Insurance,4.0,Max Planck Institute for Social Anthropology,5.0,,,Mehmet Caner,6
Open Philanthropy Project,8.0,New Urban Quality'',4.0,UCSF/UC Berkeley,5.0,,,Diane Tan,6
Belgian government (Belgian Science Policy),8.0,BIJU,4.0,St. Cloud State University,5.0,,,Susan Florio,6
National Endowment for the Arts,8.0,ArcticNet,4.0,Georgia Institute of Technology,5.0,,,Fumio Ohtake,6
Department of Public Health,8.0,Department of Health's Policy Research Programme,4.0,Institute for Research on Labor and Employment,5.0,,,Marina Costa Lobo,6
Lloyd's Register Foundation,8.0,OUE-Limited,4.0,University of Lleida,5.0,,,Stephen Harrison,6
Ministerie van Volksgezondheid,8.0,TRIL Centre,4.0,Qatar University,5.0,,,Alejandro Portes,6
German Excellence Initiative,8.0,2012 American Thoracic Society International meeting in San Francisco,4.0,Universidade Federal de Minas Gerais,5.0,,,Stefan Helmreich,6
Flemish Fund for Scientific Research (FWO),8.0,Social capital and regional economic divide,4.0,The Wharton School of the University of Pennsylvania,5.0,,,Toke Aidt,6
Fogarty International Centre,8.0,"Research Committee 19 (Poverty, Social Welfare and Social Policy) of the International Sociological Association",4.0,Bowdoin College,5.0,,,Michel Vellekoop,6
NIDILRR,8.0,FAMSIZEMATTERS,4.0,University of Liege,5.0,,,Vicki Bier,6
iSEI Wellcome Strategic Programme in The Human Body,8.0,MRC/CSO Social and Public Health Sciences Unit,4.0,University of North Carolina at Chapel Hill (UNC),5.0,,,Min Zhou,6
Chair Financial Risks of the Risk Foundation,8.0,CAUSES,4.0,Macquarie University Research Fellowship,5.0,,,Torsten B. Neilands,6
Nova Scotia Health Research Foundation,8.0,Green Tourism Development for Rural Community Transformation in Malaysia,4.0,Universidad de Costa Rica,5.0,,,Gabriel Ahlfeldt,6
African Population and Health Research Center,8.0,California Child Welfare Indicators Project,4.0,University of Wisconsin-Madison Graduate School,5.0,,,Shu Shen,6
"Cancer Research UK, Economic and Social Research Council",8.0,VA Boston Healthcare System,4.0,Kangwon National University,5.0,,,Robin Wagner-Pacifici,6
National Institute for Health Research (NIHR) Health Services and Delivery Research (HS&DR) programme,8.0,California Health Policy Research Program,4.0,Queen Mary University,5.0,,,Lynn Jamieson,6
National Institute on Alcohol Abuse and Alcoholism (NIAAA,8.0,EFESEIIS,4.0,David Rockefeller Center for Latin American Studies,5.0,,,Henriette Langstrup,6
United States National Institutes of Health,8.0,SoBigData: Social Mining & Big Data Ecosystem,4.0,School of Medicine,5.0,,,Mike Hout,6
Kauffman Foundation,8.0,Cebu Longitudinal Health and Nutrition Survey,4.0,Faculty of Psychology,5.0,,,Marciano Siniscalchi,6
U.S. Department of Health and Human Services (ACYF/DHHS),8.0,A-CaRe2Move Research Group,4.0,University of Duisburg-Essen,5.0,,,Klaus Petersen,6
Population Research Training Grant,8.0,PHAC,4.0,Special Research Funds of the University of Ghent,5.0,,,Mabel Berezin,6
Fonds de recherche sur la societe et la culture (Quebec),8.0,"Children's Capabilities and Human Development: Researching Inside and Outside of Schools'' Conference, Cambridge",4.0,Research Grant of Kwangwoon University,5.0,,,Sonik,6
Bureau of Maternal and Child Health,8.0,Open World Research Initiative consortium,4.0,Janos Bolyai Research Scholarship of the Hungarian Academy of Sciences,5.0,,,Dominic Wilkinson,6
Fonds de recherche du Quebec-Sante,8.0,Global Challenges Research Fund,4.0,London School of Hygiene & Tropical Medicine,5.0,,,David Strang,6
Swiss Household Panel (SHP),8.0,Health and Housing in Transition,4.0,Weill Cornell Medical College,5.0,,,Andrew Oswald,6
National Support Program for Centers of Excellence (PRONEX),8.0,Child Development Process'',4.0,Munk School of Global Affairs,5.0,,,Paul Carlo,6
EU Commission,8.0,Effective Board Governance of Safe Care,4.0,Open University,5.0,,,Clem Brooks,6
Economic & Social Research Council,8.0,ESEM 2013,4.0,The City University of New York,5.0,,,Carla Houkamau,6
DFF Advanced Grant,8.0,NORAD,4.0,University of Botswana,5.0,,,Susan M. Smith Professorship,6
Thrive Foundation for Youth,8.0,crisis: Lessons for Europe 2020,4.0,San Jose State University,5.0,,,Paul Dudenhefer,6
William T. Grant Foundation Scholar Award,8.0,Inclusive Growth Research Infrastructure Diffusion,4.0,IUPUI,5.0,,,Kostas Kardaras,6
Klaus Tschira Foundation,8.0,Economic Risk,4.0,Academy of Finland Flagship Programme,5.0,,,Anu Realo,6
Politics & Society,8.0,Children's Worlds Project,4.0,National Taiwan University,5.0,,,Martyn Pickersgill,6
Major Research Fellowship,8.0,Herbert's Post-Doctoral Research Fellowship,4.0,University of Kansas Center for Latin American Studies,5.0,,,Jukka Gronow,6
Fondation du Risque,8.0,How Political Representation Changes in Italy,4.0,Provost Office,5.0,,,Dominik Peters,6
Swedish Crime Victim Compensation and Support Authority,8.0,1964 Declaration of Helsinki,4.0,University of Michigan Depression Center,5.0,,,Boyu Zhang,6
Manitoba Centre for Health Policy,8.0,"Belgian Network DYSCO (Dynamical Systems, Control, and Optimization)",4.0,Leonid Nevzlin Research Center for Russian and East European Jewry,5.0,,,Pedro Magalhaes,6
Marie Curie International Outgoing Fellowship,8.0,SOEP,4.0,Highway Loss Data Institute,5.0,,,Michihiro Kandori,6
European Union's Seventh Framework Programme (FP7/2007-2013) / ERC,8.0,BBVA,4.0,Chapel Hill Center for AIDS Research,5.0,,,Michael McAleer,6
National Aeronautics and Space Administration,8.0,NIG Annual Work Conference (Leuven,4.0,Cape Town,5.0,,,Lindsey Weiler,6
OAR,8.0,IJFAB,4.0,ISIK UNIVERSITY,5.0,,,Donna Harrington,6
Canadian Research Data Centre Network (CRDCN),8.0,Oklahoma 529 College Savings Plan,4.0,Montana State University,5.0,,,John Maheu,6
"Swedish Council for Health, Working Life and Welfare",8.0,Mathematiques de la decision pour l'ingenierie physique et sociale,4.0,Georgetown University's School of Foreign Service,5.0,,,Koohyun Kwon,6
"Ministere de l'Economie, de l'Innovation et des Exportations du Quebec",8.0,Program for Research on Religion and Urban Civil Society,4.0,Italian Ministry of University and Research,5.0,,,Jesus Fernandez-Villaverde,6
CNCS-UEFISCDI,8.0,RomaInterbellum. Roma Civic Emancipation,4.0,Burkina Faso,5.0,,,Tiantian Mao,6
U.K. Economic and Social Research Council (ESRC),8.0,Marconi Center in Marshall,4.0,Institute for Medical Ethics and History of Medicine,5.0,,,Hadza,6
NIH/NIDA,8.0,Transformations of the State,4.0,Royal College of Physicians and Surgeons of Canada,5.0,,,John Turner,6
Guangdong Natural Science Funds for Distinguished Young Scholar,8.0,Maryland Safe and Supportive Schools Project,4.0,UNSW Sydney,5.0,,,Karim Abadir,6
JMR,8.0,SSRC,4.0,University Research Committee,5.0,,,Dragana Lassiter,6
Government of Canada's Homelessness Partnering Strategy,8.0,Center for the Study of Women,4.0,UCLA Graduate Division,5.0,,,L. Kranich,6
Behavioral Sciences Research in HIV Infection,8.0,Vanier Canada Graduate Scholarships,4.0,The Graduate Center,5.0,,,Fabiola Riccardini,6
UNC Center for AIDS Research,8.0,FAPEMIG,4.0,Massachusetts Institute of Technology,5.0,,,Timur Kuran,6
United Nations Children's Fund (UNICEF),8.0,Harvard Seminar on Social Exclusion and Inclusion (Cambridge,4.0,University of Zimbabwe,5.0,,,Jeffrey M. Jenson,6
EPA,8.0,American Educational Research Association,4.0,University of Minnesota Graduate School,5.0,,,M. Regenwetter,6
"International Development Research Centre, Ottawa, Canada",8.0,National Statistics,4.0,Bureau of Sociological Research,5.0,,,Till von Wachter,6
Leverhulme Trust Research Leadership Award,8.0,Parteneriat strategic pentru cresterea calitatii cercetarii stiintifice din universitatile medicale prin acordarea de burse doctorale si postdoctorale,4.0,Pennsylvania State University for Population Research Infrastructure,5.0,,,Stephen Joseph,6
DC-Baltimore Research Center on Child Health Disparities,8.0,Ontario Problem Gambling Research Centre,4.0,Pennsylvania State University Federal Statistical Research Data Center,5.0,,,Mael Lemoine,6
Marie Curie Actions,8.0,CONEVAL,4.0,Russian Academy of Sciences,5.0,,,Lisa Goldberg,6
Office of AIDS Research,8.0,Economic History Society Annual Conference,4.0,Israel Institute,5.0,,,Leslie Butt,6
National Institute on Mental Health (NIMH),8.0,"XXVI International Congress on Law and Mental Health in Rome, Italy",4.0,Seattle Children's Research Institute,5.0,,,Chang,6
NSF of China,8.0,Working Group,4.0,Journal of Social Philosophy,5.0,,,Lawrence Palinkas,6
Swedish Research Council for Sport Science,8.0,FINANZIAMENTI CARIPLO 2013,4.0,Cecil G. Sheps Center for Health Services Research,5.0,,,Kristensen,6
"Department of Housing, Planning and Local Government",8.0,Moving Up the Ladder? Labor Market Outcomes in the United Kingdom amid Rising Immigration,4.0,Institute of Social Science,5.0,,,Jun Zhuang,6
NIH Office of Research on Women's Health,8.0,OJJDP,4.0,Edmund J. Safra Center for Ethics Faculty Fellowship,5.0,,,Anja De Waegenaere,6
German National Academic Foundation,8.0,VIZZATA (TM),4.0,University of Otago Research grant,4.0,,,David Hunter,6
NIHR East Midlands CLAHRC,8.0,Improving Children's Lives,4.0,University of Ostrava,4.0,,,Aviad Heifetz,6
CONICET,8.0,Leren Participeren,4.0,University of California-San Francisco,4.0,,,Carriero,6
District of Columbia Center for AIDS Research,8.0,Manicaland Project,4.0,Urban Institute,4.0,,,Guido de Wert,6
Fonds de Recherche du Quebec-Sante,8.0,Intergenerational Mobility and Social Gradients in Children's Life Chances,4.0,University of Picardie,4.0,,,P.C.B. Phillips,6
"Research Grants Council, Hong Kong",8.0,EFSA BIOHAZ panel,4.0,University of Michigan Injury Center,4.0,,,Daniel Martin,6
Koninklijke Nederlandse Akademie van Wetenschappen,8.0,"Challenging Identities, Institutions and Communities",4.0,University of Southern California Suzanne Dworak-Peck School of Social Work,4.0,,,David Cordova,6
Government of Wales,8.0,Graduate Research Fellowship Program,4.0,3151 Social Science Plaza,4.0,,,Martine B. Powell,6
NIH/NINR,8.0,ISA 2014 World Congress in Sociology,4.0,University of Tromso,4.0,,,Rasmus Varneskov,6
NOAA,8.0,Open Data Commons Open Database License,4.0,State of Michigan,4.0,,,Stiftung Mercator,6
Iowa Agriculture and Home Economics Experiment Station,8.0,Improving the experience of dementia,4.0,Orfalea College of Business at California Polytechnic State University,4.0,,,Paul Y. Chang,6
EINITE-Economic Inequality across Italy and Europe,8.0,Sustainable Urban Patterns'',4.0,San Francisco-Gladstone Institute of Virology & Immunology Center for AIDS Research,4.0,,,Stephen Jenkins,6
6th framework programme,8.0,Science Care,4.0,Research Fund of the University of Leuven,4.0,,,Ed Corcoran,6
Swedish Social Insurance Agency,8.0,PATH,4.0,BNP Paribas London,4.0,,,Remien,6
Bloorview Children's Hospital Foundation Chair in Childhood Disability Studies,8.0,"A Comparative Study of Organizational Structure, Behavior and Performance",4.0,University of Leuven,4.0,,,Goncalves,6
Alpe d'HuZes,8.0,"Pelotas Birth Cohort, 1993",4.0,McGill,4.0,,,Marc Badia-Miro,6
Social Science Foundation Youth Project,8.0,Improve Spring Project Meeting,4.0,Nursing Research Interest Group,4.0,,,Allen Buchanan,6
MITACS Canada,8.0,Superdemocracy - A Critical Assessment of the Participatory Turn,4.0,College of Social and Behavioral Sciences,4.0,,,Elizabeth Armstrong,6
Alberta Heritage Foundation for Medical Research,8.0,What Works To Prevent Violence? A Global Programme on Violence Against Women and Girls (VAWG),4.0,Southern Cross University,4.0,,,Jesus Gonzalo,6
Australasian Association of Bioethics and Health Law,8.0,STAR Project,4.0,"University of Otago, Dunedin",4.0,,,Suzanne Fraser,6
Gallup Organization,8.0,The Role of Social Media in the Transformation of Political Communication and Citizen Participation in the Czech Republic,4.0,Yonsei University Future-leading Research Initiative,4.0,,,Bernhard Nauck,6
National Institute of Health Research,8.0,CHARM,4.0,University of British Columbia Killam Research Fellowship,4.0,,,Marcelo Medeiros,6
Harry Crossley Foundation,8.0,Faculty Research Grant,4.0,Hallsworth Research Fellowship,4.0,,,John Micklewright,6
Social Sciences and Humanities Council of Canada,8.0,Baby-Milk Trial,4.0,The University of Auckland,4.0,,,Fulvio Corsi,6
German Research Foundation (Deutsche Forschungsgemeinschaft),8.0,Mayo Clinic,4.0,Kookmin University of Korea,4.0,,,Matthew Thirkettle,6
Fonds de recherche du Quebec - Societe et culture (FRQSC),8.0,LBBAM,4.0,"Universite catholique de Louvain, Belgium",4.0,,,Claire Wendland,6
Pennsylvania Department of Transportation,8.0,ARROW Train team,4.0,Yale Law School,4.0,,,Pingyuan Gong,6
NCCR FINRISK,8.0,"GCOE project, Human Behavior and Socioeconomic Dynamics",4.0,Sookmyung Women's University Research Grant,4.0,,,Heekyoung Kim,6
Social Mobility and Child Poverty Commission,8.0,EPINET,4.0,Institut Universitaire,4.0,,,Franziska Meinck,6
Duke Center for AIDS Research,8.0,March 2016 issue of Politics & Society,4.0,Social Sciences Department,4.0,,,Dexter R. Voisin,6
Pennsylvania Department of Health,8.0,"Workshop Housing, Inequality and Welfare (Rome, 2013",4.0,Kansas University,4.0,,,Jan Kok,6
Atlanta WIHS,8.0,14th European Workshop on Efficiency and Productivity Analysis,4.0,"Australian National University, Canberra",4.0,,,Kobayashi,6
Austrian National Election Study (AUTNES),8.0,Biosocial Society,4.0,"Department of Clinical Medicine and Biology, Turin",4.0,,,Fang,6
Kresge Foundation,8.0,LAMES 2008,4.0,South China Research Programme of the Chinese University of Hong Kong,4.0,,,Schorfheide,6
Higher Education Innovation Fund,8.0,Jane Engelberg Memorial Fellowship Student Research Award,4.0,University of Hong Kong Postgraduate Scholarship,4.0,,,Qing Wang,6
National Key Research and Development Program of China,8.0,Strategic Partner Grants programme,4.0,Center for the Study of Rationality,4.0,,,Ulrika Dahl,6
"Ministry of Health & Welfare, Republic of Korea",8.0,Pedigree and Population Resource,4.0,Anadolu University,4.0,,,Melissa Dell,6
Israeli Ministry of Science and Technology,8.0,Camelon Men's Health Clinic,4.0,School of Communication,4.0,,,Hansen,6
Patient-Centered Outcomes Research Institute,8.0,Nuffield Foundation in London,4.0,"Walker Institute of International Relations and Area Studies, South Carolina",4.0,,,Jiti Gao,6
Finnish Funding Agency for Innovation,8.0,Small Grants Program,4.0,Xi'an University of Technology Doctoral Start-up Fund,4.0,,,Eran Shor,6
General Program of National Natural Science Foundation of China,8.0,Technology in Society,4.0,CQ University,4.0,,,Donna Toulmin,6
Board of Governors or Methodology Committee,8.0,Long-Term Homelessness and Finnish Adaptations of Housing First model,4.0,Hong Kong Institute of Education,4.0,,,Hide Ichimura,6
Ford Foundation Fellowship,8.0,Board of Sociology of Health and Illness,4.0,Joint Institute of Food Safety and Applied Nutrition,4.0,,,Jane,6
"Becas Chile"" Doctoral Fellowship program",8.0,Health Policy after the 2016 Elections,4.0,County Durham,4.0,,,Alfonso Flores-Lagunes,6
mid-Atlantic state child welfare agency,8.0,Access to Justice pilot,4.0,"Higher School of Economics, Moscow",4.0,,,Tayfun Sonmez,6
FP7 Science in Society,8.0,TUSEV,4.0,University of Iowa Department of Anthropology,4.0,,,Gregory Clark,6
