text,abbreviation,full
Comparative Welfare Entitlements Dataset,CWED,Comparative Welfare Entitlements Dataset (CWED)
Clean Water Land and Legacy Amendment,CWLLA,Clean Water Land and Legacy Amendment (CWLLA)
Clean Water Partnership,CWP,Clean Water Partnership (CWP)
Centre for Young and Family Enterprises,CYFE,Centre for Young and Family Enterprises (CYFE)
Critical Zone Observatory,CZO,Critical Zone Observatory (CZO)
German Academic Exchange Service,DAAD,German Academic Exchange (DAAD)
Deutscher Akademischer Austausdienst,DAAD,German Academic Exchange (DAAD)
German Academic Exchange,DAAD,German Academic Exchange (DAAD)
German Academic Exchange Program,DAAD,German Academic Exchange (DAAD)
German Academic Exchange Office,DAAD,German Academic Exchange (DAAD)
Dynamic Adaptive Automated Software Engineering,DAASE,Dynamic Adaptive Automated Software Engineering (DAASE)
Dementia and Aged Care Service,DACS,Dementia and Aged Care Service (DACS)
Department of Agriculture Environment and Rural Affairs,DAERA,Department of Agriculture Environment and Rural Affairs (DAERA)
District Agriculture and Forestry Office,DAFO,District Agriculture and Forestry Office (DAFO)
Danish International Development Agency,DANIDA,Danish International Development Agency (DANIDA)
Danish Development Assistance,DANIDA,Danish International Development Agency (DANIDA)
Danish International Development Assistance,DANIDA,Danish International Development Agency (DANIDA)
Danish Foreign Affairs Ministrys Development Agency,DANIDA,Danish International Development Agency (DANIDA)
Danish Research Council for Development Research,DANIDA,Danish International Development Agency (DANIDA)
Defense Acquisition Program Administration,DAPA,Defense Acquisition Program Administration (DAPA)
District AIDS Prevention and Control Units,DAPCU,District AIDS Prevention and Control Units (DAPCU)
Department of Agriculture and Rural Development for Northern Ireland,DARD,Department of Agriculture and Rural Development for Northern Ireland (DARD)
Data Assimilation and Remote Sensing for Littoral Applications,DARLA,Data Assimilation and Remote Sensing for Littoral Applications (DARLA)
Defense Advanced Research Project Agency,DARPA,US Defense Advanced Research Project Agency (DARPA)
US Defense Advanced Projects Agency,DARPA,US Defense Advanced Research Project Agency (DARPA)
Damage Assessment Remediation and Restoration Program,DARRP,Damage Assessment Remediation and Restoration Program (DARRP)
Discovery and Discovery Accelerate Supplement,DAS,Discovery and Discovery Accelerate Supplement (DAS)
Western Australian Department of Biodiversity Conservation and Attractions,DBCA,Western Australian Department of Biodiversity Conservation and Attractions (DBCA)
Danish Breast Cancer Cooperative Group,DBCG,Danish Breast Cancer Cooperative Group (DBCG)
Department of Biotechnology,DBT,Department of Biotechnology (DBT)
Defense CoastalEstuarine Research Program,DCERP,Defense CoastalEstuarine Research Program (DCERP)
Illinois Department of Children and Family Services,DCFS,Illinois Department of Children and Family Services (DCFS)
 Bureau for Democracy Conflict and Humanitarian Assistance,DCHA, Bureau for Democracy Conflict and Humanitarian Assistance (DCHA)
Department of Communities and Local Government,DCLG,Department of Communities and Local Government (DCLG)
Department of Digital Culture Media and Sport,DCMS,Department of Digital Culture Media and Sport (DCMS)
Defence Centre for Operational Oceanography,DCOO,Defence Centre for Operational Oceanography (DCOO)
Danish Center for Scientific Computing,DCSC,Danish Center for Scientific Computing (DCSC)
Deutscher Caritasverband,DCV,Deutscher Caritasverband (DCV)
Department of Children and Youth Affairs,DCYA,Department of Children and Youth Affairs (DCYA)
Drug Discovery and Chemical Biology,DDCB,Drug Discovery and Chemical Biology (DDCB)
AFOSR Dynamic Data Driven Applications Systems,DDDAS,AFOSR Dynamic Data Driven Applications Systems (DDDAS)
Doctoral Dissertation Fellowship,DDF,Doctoral Dissertation Fellowship (DDF)
FulbrightHays Doctoral Dissertation Research Abroad,DDRA,FulbrightHays Doctoral Dissertation Research Abroad (DDRA)
Directors Discretionary Research Fund,DDRF,Directors Discretionary Research Fund (DDRF)
 Digital Economy,DE, Digital Economy (DE)
 the Department of Economic Analysis and Research,DEAR, the Department of Economic Analysis and Research (DEAR)
NSW Department of Environment Climate Change and Water,DECCW,NSW Department of Environment Climate Change and Water (DECCW)
South Australian Department for Education and Child Development,DECD,South Australian Department for Education and Child Development (DECD)
Deep Exploration and Filtering of Text,DEFT,Deep Exploration and Filtering of Text (DEFT)
DFIDESRC Growth Research Programme,DEGRP,DFIDESRC Growth Research Programme (DEGRP)
Dipartimento di Elettronica Informazione e Bioingegneria,DEIB,Dipartimento di Elettronica Informazione e Bioingegneria (DEIB)
Department for Employment and Learning Northern Ireland,DELNI,Department for Employment and Learning Northern Ireland (DELNI)
Florida Division of Emergency Management,DEM,Florida Division of Emergency Management (DEM)
Dorset Environmental Science Centre,DESC,Dorset Environmental Science Centre (DESC)
Department of Fisheries and Aquaculture,DFA,Department of Fisheries and Aquaculture (DFA)
Department of Foreign Affairs and International Trade Canada,DFAIT,Department of Foreign Affairs and International Trade Canada (DFAIT)
Australian Department of Foreign Affairs and Trade,DFAT,Australian Government Department of Foreign Affairs and Trade (DFAT)
Australian Government Department of Foreign Affairs and Trade,DFAT,Australian Government Department of Foreign Affairs and Trade (DFAT)
Department of Foreign Affairs and Trade,DFAT,Australian Government Department of Foreign Affairs and Trade (DFAT)
Australias Department of Foreign Affairs,DFAT,Australian Government Department of Foreign Affairs and Trade (DFAT)
Department of Foreign Affairs and Trade Australia,DFAT,Australian Government Department of Foreign Affairs and Trade (DFAT)
Foreign Affairs Trade and Development Canada,DFATD,Department of Foreign Affairs Trade and Development Canada (DFATD)
Department of Foreign Affairs Trade and Development,DFATD,Department of Foreign Affairs Trade and Development Canada (DFATD)
DecisionFocused Evaluations in Agriculture,DFEA,DecisionFocused Evaluations in Agriculture (DFEA)
Government of South Australia Science and Information Economy Department of Further Education Employment Science and Technology,DFEEST,South Australian Department of Further Education Employment Science and Technology (DFEEST)
South Australian Department of Further Education Employment Science and Technology,DFEEST,South Australian Department of Further Education Employment Science and Technology (DFEEST)
Department for Education and Skills,DfES,Department for Education and Skills (DfES)
Danish Counsel of Independent Research,DFF,Danish Counsel of Independent Research (DFF)
Independent Research Fund Denmark,DFF,Danish Counsel of Independent Research (DFF)
GermanResearch Foundation,DFG,German Research Foundation (DFG)
Deutsche Forschungsgemeischaft,DFG,German Research Foundation (DFG)
German Science Foundation,DFG,German Research Foundation (DFG)
German National Science Foundation,DFG,German Research Foundation (DFG)
German Research Council,DFG,German Research Foundation (DFG)
German Research Association,DFG,German Research Foundation (DFG)
German Research Funding,DFG,German Research Foundation (DFG)
German Research Society,DFG,German Research Foundation (DFG)
German National Research Council,DFG,German Research Foundation (DFG)
UK Governments Department for International Development,DFID,United Kingdom Department for International Development (DFID)
UK Governments Department for International Development,DfID,United Kingdom Department for International Development (DFID)
United Kingdom Department for International Development,DFID,United Kingdom Department for International Development (DFID)
Department for International Development,DfID,United Kingdom Department for International Development (DFID)
Department for International Development of the UK Government,DfID,United Kingdom Department for International Development (DFID)
United Kingdoms Department for International Development,DfID,United Kingdom Department for International Development (DFID)
Department for International Development,DFID,United Kingdom Department for International Development (DFID)
Texas Department of Family and Protective Services,DFPS,Texas Department of Family and Protective Services (DFPS)
NCAR Design and Fabrication Services,DFS,NCAR Design and Fabrication Services (DFS)
General Direction of Academic Personnel Affairs of UNAM,DGAPA,General Direction of Academic Personnel Affairs of UNAM (DGAPA)
Direccion General de Asuntos del Personal Academico,DGAPA,General Direction of Academic Personnel Affairs of UNAM (DGAPA)
French Directorate General for Enterprise,DGE,French Directorate General for Enterprise (DGE)
Department of Geography and Environmental Studies,DGES,Department of Geography and Environmental Studies (DGES)
 tambien para el Directorate General of Higher Education,DGHE,Indonesian Directorate General of Higher Education (DGHE)
Indonesian Directorate General of Higher Education,DGHE,Indonesian Directorate General of Higher Education (DGHE)
Deutsche Gesellschaft fur Innere Medizin,DGIM,Deutsche Gesellschaft fur Innere Medizin (DGIM)
Daegu Gyeongbuk Institute of Science and Technology,DGIST,Daegu Gyeongbuk Institute of Science and Technology (DGIST)
Directorate General of Resources for Science Technology and Higher Education,DGRSTHE,Directorate General of Resources for Science Technology and Higher Education (DGRSTHE)
Direccion General de Servicios de Computo Academico,DGSCA,Direccion General de Servicios de Computo Academico (DGSCA)
Deutsche Gesellschaft zur Rettung Schiffbruchiger,DGzRS,Deutsche Gesellschaft zur Rettung Schiffbruchiger (DGzRS)
Department of Health UK,DH,Department of Health UK (DH)
Division for Interdisciplinary Advanced Research and Education,DIARE,Division for Interdisciplinary Advanced Research and Education (DIARE)
Data Integration  Analysis System Program,DIAS,Data Integration  Analysis System Program (DIAS)
Deposit Insurance Corporation of Japan,DICJ,Deposit Insurance Corporation of Japan (DICJ)
German Development InstituteDeutsches Institut fur Entwicklungspolitik,DIE,German Development Institute (DIE)
German Development Institute,DIE,German Development Institute (DIE)
Department of Innovation Industry Science and Research,DIISR,Department of Innovation Industry Science and Research (DIISR)
Department of Engineering ICT and Technology for Energy and Transport,DIITET,Department of Engineering ICT and Technology for Energy and Transport (DIITET)
Defence Innovative Research Programme,DIRP,Defence Innovative Research Programme (DIRP)
Data and Information Services Center,DISC,Data and Information Services Center (DISC)
Deutsches Klimarechenzentrum,DKRZ,German Climate Computer Center (DKRZ)
